Name,Quantity,Link To Buy,Cost (USD)
Seeed Studio XIAO ESP32-S3 Plus,1,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Plus-p-6361.html?srsltid=AfmBOooQTaGGdCkQ02MIjwHmLjggawnlMzKeWbwjh-_6AZfB2T0bQeFj,$7.90 (+$3.80 shipping)
Bosch BMI270,1,https://www.lcsc.com/product-detail/C2836813.html?s_z=n_q_x_BMI270&spm=wm.ssy.em.0.tz&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaU1JUQFlZUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0snAgUHCEk2GBYLFUkpByADFxc5Ng8PCwsBWiULEQ0FEhJDLgoFWiwPHw0LWigAEwEBBQAaAgBLOiA2XlxVQlYvIjAjWjUxJF1XR1RaU0oOAwwC,$3.64
MAX98357A,1,https://www.lcsc.com/product-detail/C910544.html?s_z=n_q_MAX98357AETE%2520T&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaU1NXQFdWVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQ1BbSQwSGg0%3D,$1.34
1.3 inch SH1106 OLED,1,https://www.aliexpress.com/item/1005006099414855.html,$4.17 (shipping unknown)
JST-PH 2-pin Connector,1,https://www.lcsc.com/product-detail/C131337.html?s_z=n_q_JST%2520B2B-PH-K-S%28LF%29%28SN%29&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaUVJeQVBYVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,$0.71 for 20
20 mm 8 ohm Speaker,1,https://www.lcsc.com/product-detail/C28642279.html?s_z=n_q_20mm%25208ohm%2520speaker&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaUF1UQFNaXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQQlBADxALGw%3D%3D,$0.85
Button,2,https://www.lcsc.com/product-detail/C393938.html?s_z=n_q_SHOU%2520HAN%2520TS665CJ&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaUFxWRVBeUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,$0.97 for 50
620 kΩ Resistor,1,https://www.lcsc.com/product-detail/C2096268.html?s_z=s_p_CRG0603F620K&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaX1ZWT1ldVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,$0.01
100 nF Ceramic Capacitor,3,https://www.lcsc.com/product-detail/C92490.html?s_z=n_q_100nF%25200603%2520X7R%252025V&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaX1NXTlNbUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D,$1.81 for 50
10 µF Ceramic Capacitor,1,https://www.lcsc.com/product-detail/C17024.html?s_z=n_q_10uF%25200805%2520X5R%252010V&spm=wm.fly.bg.0.xh&lcsc_vid=QFQKVFAHRFdWVwBXQQdeU1IFFFddUQJQRlNXBlRQT1IxVlNeQlJaX1xSRVNdUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlNaXlRIHxUDCw%3D%3D,$1.95 for 20
1000 mAh LiPo Battery,1,https://www.aliexpress.com/item/1005009294502730.html?pdp_npi=6%40dis%21GBP%215.09%214.89%21%21%2144.61%2142.86%21%402151fce817850203123005631e10c6%2112000048645838411%21affd%21%21%21%211%210%21&dp=CjwKCAjwyabTBhBFEiwAM3mNUPTXfzaEdYTzt06iuYirrsoikMKTDgPYL7vR0Ti3Ew4ZZnOzS0IxcxoCWYgQAvD_BwE%7C0AAAAA_4-1LnOuTkw0OOxZrcQ2Ocys1p16%7CCj4KCAjwpqHTBhA5Ei4AdY9MnwNmKUDGHxeY75Mjm6WRQmwGWlVqF6SHUt50uAHHJ2yXmv3evn2ZlZa8GgI6Dw%7Cv1&cn=gb_a&gad_source=1&aff_fcid=faccc34a331e43d5b6db113f2999ca79-1785348946938-06105-_onKPRpM&aff_fsk=_onKPRpM&aff_platform=api-new-product-query&sk=_onKPRpM&aff_trace_key=faccc34a331e43d5b6db113f2999ca79-1785348946938-06105-_onKPRpM&terminal_id=3c1befa334d841d690cdc1a418e60de2&afSmartRedirect=y,$6.87
